uuid,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
QXJ0aWNsZTpjZDUwZDI5Mi1jYjk5LTRlZmYtYWVmNC0yZmI1YmZmMzNlMjI=,0.042724453,0.023629682,7.5139535e-05,0.00025128387,6.538503e-05,9.3225804e-05,0.00014763206,0.039948627,0.0001479635,0.00012832174,0.00010197027,8.5849664e-05,0.23126733,0.0001329572,0.00012772267,0.00010576793,0.00020453938,0.00012108334,0.0001362328,0.055417042,0.00026231862,0.03365807,8.4492436e-05,0.0342735,0.00010229577,0.000102748956,0.003250332,0.443131,0.0055097532,0.084713265
QXJ0aWNsZTo5OTQ0MjNkYy04ZTljLTQxZTItOGQyNy0xMTkyMjZiZGFlOWE=,6.819349e-05,7.222341e-05,6.897045e-05,0.0002306644,6.0016806e-05,0.0057275095,0.00013551122,0.00011872333,0.00013581543,0.011408026,9.359833e-05,7.8801255e-05,0.032206565,0.00012204118,0.000117236414,9.70842e-05,0.03068865,0.00011114219,0.00012504785,0.0001383233,0.0002407834,0.02991388,7.755546e-05,0.039051645,9.389711e-05,9.431309e-05,0.00011259975,0.8278268,7.2106144e-05,0.020712262
QXJ0aWNsZTplNGZiM2EwOS01MTI2LTRkYTctYjEzOS1jYzRkNWI2Mzg1MjQ=,9.343977e-05,9.8961624e-05,9.4504365e-05,0.00031603506,8.223594e-05,0.000117251795,0.00018567954,0.00016267652,0.20730475,0.0001613926,0.00012824987,0.000107974694,0.0058832765,0.0001672227,0.00016063913,0.00013302626,0.00025725033,0.00015228873,0.00017134249,0.00018953272,0.0003298983,0.046229623,0.000106267675,0.000120125966,0.00012865926,0.00012922923,0.0001542859,0.46337506,9.880094e-05,0.27336028
QXJ0aWNsZTphOTQyMzU3YS01OGRkLTQ2ZTQtOGIyNC1hZWFkYTg5OTdkZjg=,8.2968756e-05,8.787182e-05,8.391405e-05,0.0002806276,7.302045e-05,0.00010411236,0.00016487198,0.00014444672,0.00016524212,0.035766967,0.00011387798,9.5874864e-05,0.1556822,0.00014848344,0.033813905,0.00011811911,0.030119162,0.000135223,0.00015214155,0.00016829337,0.0002929416,0.00010303952,9.4359144e-05,0.03118094,0.00011424149,0.0032961855,0.00013699637,0.6144374,8.7729146e-05,0.09275486
QXJ0aWNsZTpkZDllOTM3ZS1iZWE3LTQxMDEtODAwNS00MTgyZDIxYjYzN2U=,6.142419e-05,0.013002977,6.212402e-05,0.00020777273,5.4059168e-05,7.707742e-05,0.00012205954,0.00010693812,0.020729959,0.013058454,0.009747208,7.097896e-05,0.02950976,0.00010992662,0.0001055988,8.744703e-05,0.00016910859,0.00010010953,0.000112634836,0.00012459248,0.0002168757,0.11134884,6.9856826e-05,0.007152889,8.4576306e-05,8.495099e-05,0.0001014224,0.7931157,6.494844e-05,0.00013971486
QXJ0aWNsZTo1M2M1ZDA1MS1mYmYyLTQxNjAtYmMyYy02MTk2ODIzMTkzMGY=,6.208409e-05,0.1743119,6.2791434e-05,0.024135584,5.4639942e-05,0.020998457,0.00012337086,0.01963565,0.00012364781,0.011049186,0.37833956,7.174151e-05,0.00020580615,0.00011110759,0.000106733285,8.838649e-05,0.00017092506,0.00010118504,0.0001138449,0.00012593101,0.00021921037,7.71027e-05,7.060732e-05,7.981517e-05,8.5484935e-05,8.586364e-05,0.000102512015,0.06533938,6.564621e-05,0.30388182
QXJ0aWNsZTo5NDVjZmZhMS00MGNkLTQ2N2EtYTNlMi1hMDMxMTgxN2JiNDE=,0.0005675865,0.0006011282,0.38563195,0.001919894,0.00049953046,0.00071222923,0.0011278838,0.0009881553,0.0011304158,0.0009803562,0.0007790355,0.0006558768,0.5877112,0.0010157702,0.0009757794,0.00080804894,0.0015626322,0.0009250561,0.0010407954,0.0011512894,0.002004027,0.00070489,0.00064550777,0.000729688,0.0007815223,0.0007849845,0.00093718764,0.0007363803,0.0006001522,0.0012910265
QXJ0aWNsZToyODVmNDJiZS00N2Y2LTQ4MDQtYWZiMS01ZDAyYmEzMWYzNmQ=,0.00028300294,0.10159194,0.08840932,0.0009572197,0.00024906968,0.0003551229,0.0005623714,0.0004927017,0.0005636339,0.045178458,0.113158874,0.00032702516,0.00093814265,0.0005064708,0.000486531,0.00040289934,0.00077914156,0.00046123998,0.0005189485,0.5026948,0.0009991636,0.0003514635,0.00032185507,0.00036382797,0.00038967293,0.00039139923,0.00046728886,0.13685545,0.00029924043,0.00064371555
QXJ0aWNsZTpjOGU5YTk3My03MDMyLTQ3YmItYWVhYy05OTc2NDE4YjI0M2Y=,0.00015998492,0.00016943928,0.00016180768,0.0005411218,0.00014080205,0.0002007552,0.00031791523,0.00027853012,0.00031862894,0.08457564,0.00021958578,0.0001848712,0.00053037563,0.00028631394,0.00027504176,0.00022776377,0.034237638,0.00026074445,0.00029336772,0.00032451254,0.00056493114,0.2840061,0.00018194849,0.065363064,0.00022028673,0.00022126263,0.00026416394,0.5249403,0.00016916417,0.00036390006
QXJ0aWNsZTplNzQ5ODA5My1mOWRhLTQ4NDktOTY5OC1kMTM4NDIwYWQ1ZDI=,4.368934e-05,4.6271176e-05,4.418711e-05,0.00014777118,3.8450802e-05,5.4823053e-05,8.68176e-05,0.041888352,0.11914881,0.039454024,0.011677342,5.048539e-05,0.12934433,7.818779e-05,7.5109536e-05,6.219867e-05,0.03935535,7.120516e-05,0.054028105,8.8619214e-05,0.00015426365,0.014672821,4.968724e-05,5.6166922e-05,6.015681e-05,0.016194586,7.213897e-05,0.113649674,4.6196048e-05,0.41926017
QXJ0aWNsZTo5YzVjOWI0NC1jZjYyLTRhZjYtYTFmYi00ZGI2N2M3OGJjZjc=,8.544956e-05,0.023381788,8.642312e-05,0.00028903072,7.5203796e-05,0.00010722537,0.00016980173,0.046577834,0.08082796,0.0001475916,0.41960213,9.874158e-05,0.18269236,0.00015292317,0.00014690257,0.00012165093,0.00023525294,0.00013926624,0.00015669067,0.22309282,0.00030170087,0.00010612046,0.014208926,0.00010985377,0.00011765737,0.0064320145,0.00014109262,0.00011086129,9.035229e-05,0.0001943627
QXJ0aWNsZToyOWU4ODE4My04NTY3LTRiNmEtODYwYy0wZjA0NDc4MmFjMjk=,9.8007185e-05,0.15573964,9.912382e-05,0.00033149956,8.625571e-05,0.00012298317,0.00019475572,0.0001706283,0.096391216,0.0001692816,0.104063146,0.00011325259,0.046716694,0.00017539668,0.013995425,0.0001395287,0.028656583,0.00015973274,0.047330443,0.01695357,0.0003460581,0.2746255,0.01001465,0.031803943,0.00013494823,0.00013554607,0.00016182753,0.17074387,0.000103630424,0.00022292623
